datetime,open,high,low,close
2025-06-24 13:02:00,1.3558,1.3558,1.3558,1.3558
2025-06-24 13:03:00,1.35573,1.35573,1.35573,1.35573
2025-06-24 13:04:00,1.35579,1.35579,1.35579,1.35579
2025-06-24 13:05:00,1.35588,1.35588,1.35588,1.35588
2025-06-24 13:06:00,1.35593,1.35593,1.35593,1.35593
2025-06-24 13:07:00,1.35599,1.35599,1.35599,1.35599
2025-06-24 13:08:00,1.35593,1.35593,1.35593,1.35593
2025-06-24 13:09:00,1.35602,1.35602,1.35602,1.35602
2025-06-24 13:10:00,1.35613,1.35613,1.35613,1.35613
2025-06-24 13:11:00,1.3561,1.3561,1.3561,1.3561
2025-06-24 13:12:00,1.35617,1.35617,1.35617,1.35617
2025-06-24 13:13:00,1.35624,1.35624,1.35624,1.35624
2025-06-24 13:14:00,1.35628,1.35628,1.35628,1.35628
2025-06-24 13:15:00,1.35626,1.35626,1.35626,1.35626
2025-06-24 13:16:00,1.35624,1.35624,1.35624,1.35624
2025-06-24 13:17:00,1.3561,1.3561,1.3561,1.3561
2025-06-24 13:18:00,1.35602,1.35602,1.35602,1.35602
2025-06-24 13:19:00,1.35602,1.35602,1.35602,1.35602
2025-06-24 13:20:00,1.35612,1.35612,1.35612,1.35612
2025-06-24 13:21:00,1.35601,1.35601,1.35601,1.35601
2025-06-24 13:22:00,1.3561,1.3561,1.3561,1.3561
2025-06-24 13:23:00,1.35597,1.35597,1.35597,1.35597
2025-06-24 13:24:00,1.35595,1.35595,1.35595,1.35595
2025-06-24 13:25:00,1.35597,1.35597,1.35597,1.35597
2025-06-24 13:26:00,1.3558,1.3558,1.3558,1.3558
2025-06-24 13:27:00,1.3558,1.3558,1.3558,1.3558
2025-06-24 13:28:00,1.35586,1.35586,1.35586,1.35586
2025-06-24 13:29:00,1.35591,1.35591,1.35591,1.35591
2025-06-24 13:30:00,1.35593,1.35593,1.35593,1.35593
2025-06-24 13:31:00,1.35608,1.35608,1.35608,1.35608
2025-06-24 13:32:00,1.35608,1.35608,1.35608,1.35608
2025-06-24 13:33:00,1.35608,1.35608,1.35608,1.35608
2025-06-24 13:34:00,1.35602,1.35602,1.35602,1.35602
2025-06-24 13:35:00,1.35608,1.35608,1.35608,1.35608
2025-06-24 13:36:00,1.35604,1.35604,1.35604,1.35604
2025-06-24 13:37:00,1.35595,1.35595,1.35595,1.35595
2025-06-24 13:38:00,1.35584,1.35584,1.35584,1.35584
2025-06-24 13:39:00,1.35582,1.35582,1.35582,1.35582
2025-06-24 13:40:00,1.3559,1.3559,1.3559,1.3559
2025-06-24 13:41:00,1.35602,1.35602,1.35602,1.35602
2025-06-24 13:42:00,1.35602,1.35602,1.35602,1.35602
2025-06-24 13:43:00,1.35606,1.35606,1.35606,1.35606
