datetime,open,high,low,close
2025-06-24 13:14:00,145.43401,145.455,145.423,145.45399
2025-06-24 13:15:00,145.45399,145.457,145.429,145.44099
2025-06-24 13:16:00,145.442,145.444,145.41901,145.43201
2025-06-24 13:17:00,145.42799,145.468,145.422,145.452
2025-06-24 13:18:00,145.45,145.46899,145.444,145.452
2025-06-24 13:19:00,145.453,145.45399,145.431,145.437
2025-06-24 13:20:00,145.433,145.459,145.42101,145.459
2025-06-24 13:21:00,145.455,145.46899,145.451,145.459
2025-06-24 13:22:00,145.459,145.464,145.438,145.438
2025-06-24 13:23:00,145.442,145.457,145.436,145.44901
2025-06-24 13:24:00,145.452,145.455,145.442,145.446
2025-06-24 13:25:00,145.44701,145.459,145.429,145.45399
2025-06-24 13:26:00,145.451,145.455,145.422,145.42599
2025-06-24 13:27:00,145.424,145.43401,145.40601,145.411
2025-06-24 13:28:00,145.408,145.41,145.39301,145.401
2025-06-24 13:29:00,145.40199,145.418,145.39799,145.409
2025-06-24 13:30:00,145.407,145.41701,145.399,145.40401
2025-06-24 13:31:00,145.39999,145.41,145.38699,145.38699
2025-06-24 13:32:00,145.388,145.394,145.371,145.39101
2025-06-24 13:33:00,145.39,145.39101,145.36,145.37
2025-06-24 13:34:00,145.37,145.37399,145.332,145.35201
2025-06-24 13:35:00,145.34801,145.353,145.332,145.34399
2025-06-24 13:36:00,145.343,145.37199,145.32001,145.371
2025-06-24 13:37:00,145.369,145.39799,145.369,145.394
2025-06-24 13:38:00,145.392,145.442,145.392,145.418
2025-06-24 13:39:00,145.42,145.425,145.407,145.412
2025-06-24 13:40:00,145.414,145.414,145.395,145.40199
2025-06-24 13:41:00,145.399,145.403,145.34801,145.36
2025-06-24 13:42:00,145.36099,145.36099,145.327,145.33299
2025-06-24 13:43:00,145.33299,145.342,145.319,145.342
2025-06-24 13:44:00,145.341,145.351,145.332,145.34801
2025-06-24 13:45:00,145.347,145.347,145.32899,145.33701
2025-06-24 13:46:00,145.33701,145.349,145.33299,145.34801
2025-06-24 13:47:00,145.345,145.366,145.32899,145.33701
