datetime,open,high,low,close
2025-06-21 05:18:00,1.15289,1.15301,1.15285,1.15294
2025-06-21 05:19:00,1.15298,1.15312,1.15295,1.15304
2025-06-21 05:21:00,1.15304,1.15307,1.15296,1.15302
2025-06-21 05:22:00,1.15297,1.15303,1.15291,1.15294
2025-06-21 05:23:00,1.15291,1.15298,1.15281,1.1529
2025-06-21 05:24:00,1.1529,1.15298,1.15284,1.15289
2025-06-21 05:26:00,1.15289,1.15302,1.15286,1.15293
2025-06-21 05:27:00,1.15293,1.15296,1.15285,1.15288
2025-06-21 05:28:00,1.15288,1.15292,1.15278,1.15282
2025-06-21 05:29:00,1.15283,1.15287,1.15279,1.15284
2025-06-21 05:30:00,1.15281,1.15286,1.15276,1.1528
2025-06-21 05:31:00,1.1528,1.15285,1.15275,1.1528
2025-06-21 05:32:00,1.1528,1.15283,1.15261,1.15266
2025-06-21 05:33:00,1.15264,1.15267,1.15255,1.15259
2025-06-21 05:34:00,1.15258,1.15261,1.15253,1.15257
2025-06-21 05:35:00,1.15254,1.15257,1.15246,1.1525
2025-06-21 05:36:00,1.15251,1.15259,1.15242,1.15253
2025-06-21 05:37:00,1.15254,1.15272,1.15249,1.15268
2025-06-21 05:38:00,1.15277,1.15282,1.15265,1.15272
2025-06-21 05:39:00,1.15268,1.15273,1.15252,1.15258
2025-06-21 05:40:00,1.15257,1.15262,1.15247,1.15251
2025-06-21 05:41:00,1.15257,1.15263,1.15252,1.15259
2025-06-21 05:42:00,1.1526,1.15269,1.15255,1.15259
2025-06-21 05:43:00,1.15257,1.15267,1.15254,1.15258
2025-06-21 05:44:00,1.15257,1.15264,1.1525,1.15255
2025-06-21 05:45:00,1.15248,1.15258,1.15232,1.1525
2025-06-21 05:46:00,1.15243,1.15252,1.15238,1.15247
2025-06-21 05:47:00,1.15235,1.15238,1.15221,1.15226
2025-06-21 05:48:00,1.15224,1.15229,1.15216,1.1522
2025-06-21 05:49:00,1.15223,1.1523,1.15214,1.1522
