datetime,open,high,low,close
2025-06-21 05:21:00,1.37278,1.37285,1.3724,1.37278
2025-06-21 05:22:00,1.3728,1.37285,1.3724,1.3728
2025-06-21 05:23:00,1.37282,1.37284,1.3724,1.37276
2025-06-21 05:24:00,1.3724,1.37281,1.3724,1.37275
2025-06-21 05:25:00,1.37273,1.3728,1.3724,1.3724
2025-06-21 05:26:00,1.37274,1.3728,1.3724,1.3724
2025-06-21 05:27:00,1.3726,1.37285,1.3724,1.3725
2025-06-21 05:28:00,1.37282,1.37285,1.3723,1.37279
2025-06-21 05:29:00,1.37282,1.37284,1.3724,1.37281
2025-06-21 05:30:00,1.37281,1.37283,1.3724,1.37277
2025-06-21 05:31:00,1.37276,1.37285,1.3724,1.37279
2025-06-21 05:32:00,1.3723,1.37296,1.3723,1.3729
2025-06-21 05:33:00,1.37292,1.37303,1.3726,1.37298
2025-06-21 05:34:00,1.37296,1.37301,1.3726,1.37299
2025-06-21 05:35:00,1.37297,1.37302,1.3728,1.37297
2025-06-21 05:36:00,1.37301,1.37311,1.3726,1.37304
2025-06-21 05:37:00,1.37305,1.3731,1.3727,1.3727
2025-06-21 05:38:00,1.373,1.37305,1.3726,1.37294
2025-06-21 05:39:00,1.37297,1.37307,1.3726,1.37302
2025-06-21 05:40:00,1.37303,1.37324,1.3727,1.37314
2025-06-21 05:41:00,1.37319,1.37319,1.3727,1.37305
2025-06-21 05:42:00,1.37309,1.3732,1.3727,1.3728
2025-06-21 05:43:00,1.37317,1.3732,1.3726,1.37315
2025-06-21 05:44:00,1.37315,1.37335,1.3728,1.37333
2025-06-21 05:45:00,1.37333,1.37346,1.3729,1.3729
2025-06-21 05:46:00,1.37329,1.37331,1.3729,1.37329
2025-06-21 05:47:00,1.37327,1.37334,1.3729,1.373
2025-06-21 05:48:00,1.37333,1.37338,1.3729,1.37337
2025-06-21 05:49:00,1.37334,1.3734,1.3729,1.37331
2025-06-21 05:50:00,1.3733,1.37348,1.3729,1.37343
2025-06-21 05:51:00,1.37347,1.3735,1.3731,1.37346
2025-06-21 05:52:00,1.37346,1.37359,1.3731,1.37358
2025-06-21 05:53:00,1.37361,1.37372,1.3733,1.3733
2025-06-21 05:54:00,1.3734,1.37372,1.3732,1.3732
2025-06-21 05:55:00,1.37369,1.37372,1.3729,1.37346
2025-06-21 05:56:00,1.37348,1.37388,1.3731,1.3735
2025-06-21 05:57:00,1.37386,1.37416,1.3736,1.37403
2025-06-21 05:58:00,1.37402,1.37411,1.3734,1.37408
2025-06-21 05:59:00,1.37408,1.37413,1.3735,1.37401
2025-06-21 06:00:00,1.37401,1.37445,1.3737,1.37435
2025-06-21 06:01:00,1.37431,1.37443,1.3738,1.374
2025-06-21 06:02:00,1.37431,1.37442,1.374,1.3744
2025-06-21 06:03:00,1.37436,1.37441,1.3738,1.37411
2025-06-21 06:04:00,1.37407,1.37417,1.3736,1.37392
2025-06-21 06:05:00,1.3739,1.37403,1.3736,1.37402
2025-06-21 06:06:00,1.37405,1.37413,1.3738,1.37402
2025-06-21 06:07:00,1.37396,1.374,1.3737,1.37396
2025-06-21 06:08:00,1.37399,1.37402,1.3735,1.3735
2025-06-21 06:09:00,1.37386,1.3739,1.3734,1.37371
2025-06-21 06:10:00,1.37375,1.37382,1.3733,1.37378
2025-06-21 06:11:00,1.37377,1.37386,1.3735,1.37383
2025-06-21 06:12:00,1.3735,1.37392,1.3735,1.37385
2025-06-21 06:13:00,1.3735,1.37394,1.3735,1.3736
2025-06-21 06:14:00,1.37391,1.37395,1.3736,1.3739
2025-06-21 06:15:00,1.3736,1.37409,1.3736,1.3737
2025-06-21 06:16:00,1.37401,1.37404,1.3736,1.3737
2025-06-21 06:17:00,1.37401,1.37403,1.3736,1.3736
2025-06-21 06:18:00,1.37387,1.37404,1.3736,1.374
2025-06-21 06:19:00,1.3736,1.37412,1.3736,1.3739
2025-06-21 06:20:00,1.37408,1.37431,1.3737,1.37422
2025-06-21 06:21:00,1.3742,1.3743,1.3739,1.37418
2025-06-21 06:22:00,1.37419,1.37422,1.3738,1.37421
2025-06-21 06:23:00,1.37418,1.37422,1.3738,1.3739
2025-06-21 06:24:00,1.37419,1.37421,1.3738,1.3738
2025-06-21 06:25:00,1.3739,1.37421,1.3738,1.37415
2025-06-21 06:26:00,1.37415,1.3744,1.3738,1.374
2025-06-21 06:27:00,1.37433,1.3744,1.3739,1.37424
2025-06-21 06:28:00,1.37429,1.3743,1.3739,1.37426
2025-06-21 06:29:00,1.37428,1.3743,1.3739,1.3741
2025-06-21 06:30:00,1.37424,1.3744,1.3739,1.37437
2025-06-21 06:31:00,1.3744,1.37443,1.3742,1.37443
2025-06-21 06:32:00,1.37438,1.37442,1.3742,1.37439
2025-06-21 06:33:00,1.3744,1.37444,1.3741,1.3744
2025-06-21 06:34:00,1.37441,1.37443,1.3742,1.37439
2025-06-21 06:35:00,1.37439,1.37452,1.3742,1.37447
2025-06-21 06:36:00,1.37449,1.37461,1.3743,1.3746
2025-06-21 06:37:00,1.37457,1.3746,1.3742,1.37459
2025-06-21 06:38:00,1.37458,1.37461,1.3743,1.3743
2025-06-21 06:39:00,1.3745,1.3746,1.3743,1.37457
2025-06-21 06:40:00,1.37455,1.37463,1.3744,1.37463
2025-06-21 06:41:00,1.37459,1.37465,1.3744,1.37459
2025-06-21 06:42:00,1.37459,1.37463,1.3743,1.3743
2025-06-21 06:43:00,1.37457,1.37463,1.3743,1.37459
2025-06-21 06:44:00,1.37462,1.37463,1.3744,1.37458
2025-06-21 06:45:00,1.37457,1.37461,1.3743,1.3743
2025-06-21 06:46:00,1.37448,1.37463,1.3743,1.37461
2025-06-21 06:47:00,1.37461,1.3747,1.3743,1.37468
2025-06-21 06:48:00,1.37465,1.37466,1.3743,1.3744
2025-06-21 06:49:00,1.37459,1.37462,1.3742,1.3742
2025-06-21 06:50:00,1.37445,1.37455,1.3742,1.37443
2025-06-21 06:51:00,1.37443,1.37443,1.3737,1.37409
2025-06-21 06:52:00,1.3741,1.37412,1.3733,1.37356
2025-06-21 06:53:00,1.37357,1.37364,1.373,1.37348
