datetime,open,high,low,close
2025-06-21 05:51:00,1.34517,1.34517,1.34517,1.34517
2025-06-21 05:52:00,1.34504,1.34504,1.34504,1.34504
2025-06-21 05:53:00,1.34501,1.34501,1.34501,1.34501
2025-06-21 05:54:00,1.34503,1.34503,1.34503,1.34503
2025-06-21 05:55:00,1.34508,1.34508,1.34508,1.34508
2025-06-21 05:56:00,1.34481,1.34481,1.34481,1.34481
2025-06-21 05:57:00,1.34468,1.34468,1.34468,1.34468
2025-06-21 05:58:00,1.34466,1.34466,1.34466,1.34466
2025-06-21 05:59:00,1.34472,1.34472,1.34472,1.34472
2025-06-21 06:00:00,1.34456,1.34456,1.34456,1.34456
2025-06-21 06:01:00,1.34457,1.34457,1.34457,1.34457
2025-06-21 06:02:00,1.34472,1.34472,1.34472,1.34472
2025-06-21 06:03:00,1.34479,1.34479,1.34479,1.34479
2025-06-21 06:04:00,1.3449,1.3449,1.3449,1.3449
2025-06-21 06:05:00,1.34499,1.34499,1.34499,1.34499
2025-06-21 06:06:00,1.34494,1.34494,1.34494,1.34494
2025-06-21 06:07:00,1.34483,1.34483,1.34483,1.34483
2025-06-21 06:08:00,1.3451,1.3451,1.3451,1.3451
2025-06-21 06:09:00,1.34508,1.34508,1.34508,1.34508
2025-06-21 06:10:00,1.3453,1.3453,1.3453,1.3453
2025-06-21 06:11:00,1.34506,1.34506,1.34506,1.34506
2025-06-21 06:12:00,1.34523,1.34523,1.34523,1.34523
2025-06-21 06:13:00,1.3451,1.3451,1.3451,1.3451
2025-06-21 06:14:00,1.34504,1.34504,1.34504,1.34504
2025-06-21 06:15:00,1.34492,1.34492,1.34492,1.34492
2025-06-21 06:16:00,1.34497,1.34497,1.34497,1.34497
2025-06-21 06:17:00,1.34492,1.34492,1.34492,1.34492
2025-06-21 06:18:00,1.34494,1.34494,1.34494,1.34494
2025-06-21 06:19:00,1.34483,1.34483,1.34483,1.34483
2025-06-21 06:20:00,1.34465,1.34465,1.34465,1.34465
2025-06-21 06:21:00,1.34465,1.34465,1.34465,1.34465
2025-06-21 06:22:00,1.34465,1.34465,1.34465,1.34465
2025-06-21 06:23:00,1.34465,1.34465,1.34465,1.34465
2025-06-21 06:24:00,1.34457,1.34457,1.34457,1.34457
2025-06-21 06:25:00,1.34456,1.34456,1.34456,1.34456
2025-06-21 06:26:00,1.34445,1.34445,1.34445,1.34445
2025-06-21 06:27:00,1.34447,1.34447,1.34447,1.34447
2025-06-21 06:28:00,1.34459,1.34459,1.34459,1.34459
2025-06-21 06:29:00,1.34459,1.34459,1.34459,1.34459
2025-06-21 06:30:00,1.34452,1.34452,1.34452,1.34452
2025-06-21 06:31:00,1.34459,1.34459,1.34459,1.34459
2025-06-21 06:32:00,1.34457,1.34457,1.34457,1.34457
2025-06-21 06:33:00,1.34466,1.34466,1.34466,1.34466
2025-06-21 06:34:00,1.34468,1.34468,1.34468,1.34468
2025-06-21 06:35:00,1.34457,1.34457,1.34457,1.34457
2025-06-21 06:36:00,1.34461,1.34461,1.34461,1.34461
2025-06-21 06:37:00,1.34463,1.34463,1.34463,1.34463
2025-06-21 06:38:00,1.34456,1.34456,1.34456,1.34456
2025-06-21 06:39:00,1.34457,1.34457,1.34457,1.34457
2025-06-21 06:40:00,1.34454,1.34454,1.34454,1.34454
2025-06-21 06:41:00,1.34445,1.34445,1.34445,1.34445
2025-06-21 06:42:00,1.34452,1.34452,1.34452,1.34452
2025-06-21 06:43:00,1.34421,1.34421,1.34421,1.34421
2025-06-21 06:44:00,1.34421,1.34421,1.34421,1.34421
2025-06-21 06:45:00,1.34445,1.34445,1.34445,1.34445
2025-06-21 06:46:00,1.34441,1.34441,1.34441,1.34441
2025-06-21 06:47:00,1.34436,1.34436,1.34436,1.34436
2025-06-21 06:48:00,1.34434,1.34434,1.34434,1.34434
2025-06-21 06:49:00,1.34423,1.34423,1.34423,1.34423
2025-06-21 06:50:00,1.34439,1.34439,1.34439,1.34439
2025-06-21 06:51:00,1.34438,1.34438,1.34438,1.34438
2025-06-21 06:52:00,1.34454,1.34454,1.34454,1.34454
2025-06-21 06:53:00,1.34492,1.34492,1.34492,1.34492
2025-06-21 06:54:00,1.34506,1.34506,1.34506,1.34506
2025-06-21 06:55:00,1.34504,1.34504,1.34504,1.34504
2025-06-21 06:56:00,1.34504,1.34504,1.34504,1.34504
2025-06-21 06:57:00,1.34485,1.34485,1.34485,1.34485
2025-06-21 06:58:00,1.34508,1.34508,1.34508,1.34508
2025-06-21 06:59:00,1.34488,1.34488,1.34488,1.34488
2025-06-21 07:00:00,1.34481,1.34481,1.34481,1.34481
